"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 26 09:10:00 UTC 2022","Thu May 26 09:10:05 UTC 2022","5002","","Shipping zones API tests","","Shipping zones API tests","cannot delete the default shipping zone ""Locations not covered by your other zones""","cannot delete the default shipping zone ""Locations not covered by your other zones""",""
"failed","Thu May 26 09:04:54 UTC 2022","Thu May 26 09:04:56 UTC 2022","1298","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","slug","slug",""
"skipped","Thu May 26 09:05:32 UTC 2022","Thu May 26 09:05:32 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (asc)","popularity (asc)",""
"failed","Thu May 26 09:05:14 UTC 2022","Thu May 26 09:05:16 UTC 2022","1526","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","date","date",""
"passed","Thu May 26 09:08:32 UTC 2022","Thu May 26 09:08:34 UTC 2022","2396","","Products API tests: CRUD","","Products API tests: CRUD","can add a simple product","can add a simple product",""
"passed","Thu May 26 09:08:48 UTC 2022","Thu May 26 09:08:50 UTC 2022","1215","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch update products","can batch update products",""
"failed","Thu May 26 09:05:30 UTC 2022","Thu May 26 09:05:30 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","include","include",""
"passed","Thu May 26 09:09:45 UTC 2022","Thu May 26 09:09:48 UTC 2022","3093","","Orders API tests: CRUD Delete an order","","Orders API tests: CRUD Delete an order","can permanently delete an order","can permanently delete an order",""
"failed","Thu May 26 09:04:56 UTC 2022","Thu May 26 09:04:57 UTC 2022","1090","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","sku","sku",""
"failed","Thu May 26 09:07:31 UTC 2022","Thu May 26 09:07:36 UTC 2022","5001","","Orders API tests List all orders","","Orders API tests List all orders","dp (precision)","dp (precision)",""
"failed","Thu May 26 09:10:10 UTC 2022","Thu May 26 09:10:12 UTC 2022","1320","","Shipping zones API tests","","Shipping zones API tests","can update a shipping zone","can update a shipping zone",""
"passed","Thu May 26 09:07:25 UTC 2022","Thu May 26 09:07:27 UTC 2022","2805","","Orders API tests List all orders","","Orders API tests List all orders","status","status",""
"passed","Thu May 26 09:07:49 UTC 2022","Thu May 26 09:07:52 UTC 2022","2946","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","include","include",""
"passed","Thu May 26 09:10:51 UTC 2022","Thu May 26 09:10:52 UTC 2022","1579","","Order Search API tests","","Order Search API tests","can search by shipping last name","can search by shipping last name",""
"failed","Thu May 26 09:09:54 UTC 2022","Thu May 26 09:09:55 UTC 2022","1426","","Orders API test","","Orders API test","can add complex order","can add complex order",""
"passed","Thu May 26 09:10:54 UTC 2022","Thu May 26 09:10:55 UTC 2022","1335","","Order Search API tests","","Order Search API tests","can search by shipping city","can search by shipping city",""
"failed","Thu May 26 09:05:11 UTC 2022","Thu May 26 09:05:13 UTC 2022","1277","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","stock status","stock status",""
"passed","Thu May 26 09:10:46 UTC 2022","Thu May 26 09:10:48 UTC 2022","1631","","Order Search API tests","","Order Search API tests","can search by billing phone","can search by billing phone",""
"failed","Thu May 26 09:04:58 UTC 2022","Thu May 26 09:04:59 UTC 2022","1052","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","featured","featured",""
"failed","Thu May 26 09:05:10 UTC 2022","Thu May 26 09:05:11 UTC 2022","1318","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tax class","tax class",""
"passed","Thu May 26 09:10:52 UTC 2022","Thu May 26 09:10:54 UTC 2022","1530","","Order Search API tests","","Order Search API tests","can search by shipping address 2","can search by shipping address 2",""
"passed","Thu May 26 09:09:19 UTC 2022","Thu May 26 09:09:22 UTC 2022","3292","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'failed'","can create an order with status 'failed'",""
"passed","Thu May 26 09:10:43 UTC 2022","Thu May 26 09:10:45 UTC 2022","1621","","Order Search API tests","","Order Search API tests","can search by billing city name","can search by billing city name",""
"passed","Thu May 26 09:10:41 UTC 2022","Thu May 26 09:10:43 UTC 2022","1436","","Order Search API tests","","Order Search API tests","can search by billing address 2","can search by billing address 2",""
"passed","Thu May 26 09:10:09 UTC 2022","Thu May 26 09:10:10 UTC 2022","1475","","Shipping zones API tests","","Shipping zones API tests","can list all shipping zones","can list all shipping zones",""
"passed","Thu May 26 09:08:42 UTC 2022","Thu May 26 09:08:44 UTC 2022","1303","","Products API tests: CRUD","","Products API tests: CRUD","can update a single product","can update a single product",""
"failed","Thu May 26 09:05:21 UTC 2022","Thu May 26 09:05:24 UTC 2022","3408","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","title","title",""
"passed","Thu May 26 09:09:33 UTC 2022","Thu May 26 09:09:35 UTC 2022","1523","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'cancelled'","can update status of an order to 'cancelled'",""
